mitqut	(mitq)+ut
qihigalik	qi+(higa)+lik
upluqhiun	(uplu)+qhi+un
agjaqtuq	(agj)+aq+tuq
aliktaa	(a)+lik+taa
paan’nguqtuq	paa+(n’nguq)+tuq
avaliittuq	a+(vali)+it+tuq
haavraq	(haavr)+aq
qimirutit	qi+(mir)+ut+it
niaqun’ngujuq	(niaqun’ng)+ujuq
atuuti	a+(tu)+uti
qaqqulaannguqtuq	qa+(qqulaann)+guq+tuq
patqujaq	(patquj)+aq
iglu	(iglu)
pilraak	(pilra)+ak
aallami	(aalla)+mi
aliqakhaq	(aliqa)+khaq
kuniktuq	(kunik)+tuq
tikinnata	tikin+(na)+ta
piannaqatigijaa	piannaq+(ati)+gijaa
tigluktaa	(tigluk)+taa
amaun	a+(ma)+un
kiinaruq	(kiina)+ruq
uunnaalaqijuq	(uunnaa)+laqi+juq
niu	(niu)
taamnataamna	(taamnataam)+na
aput	(ap)+ut
kajumiktuq	ka+(ju)+mik+tuq
tulugaq	(tulu)+gaq
ppaamnguliaq	p+(paamnguli)+aq
angunahuaqti	angunahuaq+(ti)
qatiggaaqtuq	qa+(tigga)+aq+tuq
qitun’ngaq	qi+(tun’ng)+aq
haattuq	(haa)+t+tuq
aappakhaq	(aappa)+khaq
kakilahaaq	(kakilah)+aaq
titiqqittijuq	(titiqqi)+ttijuq
apirijaa	(api)+rijaa
tahiuqtaa	(tahi)+uq+taa
tailoffish	ta+(iloffish)
napuliut	(napuli)+ut
paun’raq	(paun’r)+aq
pigliriaq	p+(igli)+riaq
qaujimaittuq	qa+(ujima)+it+tuq
tikitinnahi	(tikitinna)+hi
hinnaktuqtuq	hi+(nnak)+tuq+tuq
hiquriaqtuq	(hiquri)+aq+tuq
haamirun	(haamir)+un
aluutinnuaq	(alu)+uti+nnuaq
aluaq	(alu)+aq
iliharvik	(iliharvi)+k
ilauqtuq	(ilauq)+tuq
ulujjat	(ulujja)+t
uvamnik	(uva)+mnik
higjariaq	(higja)+riaq
qin’nguti	(qin’ngu)+ti
ilaranaittuq	(ilarana)+it+tuq
annguti	(anng)+uti
maamakhaq	(maama)+khaq
uaqtaa	(u)+aq+taa
naammaktuq	(naamm)+ak+tuq
amaulik	a+(mau)+lik
aittuqtaa	(ait)+tuq+taa
angmaqtaa	ang+(m)+aq+taa
niujuq	(ni)+ujuq
kanajuq	ka+(na)+juq
atajuq	(ata)+juq
titiraakhaq	(titiraakha)+q
nunijuq	n+(uni)+juq
puvla	(puvla)
taanngaq	ta+(anng)+aq
upluqtujuq	(upluqt)+ujuq
qanilrukkun	qa+(nilru)+kkun
apiqhuqtuq	(apiq)+hu+qtuq
qakugu	(qakugu)
iqqakuuruti	(iqqakuur)+uti
mahuk	(mah)+uk
haqalikitaaq	(haqalikita)+aq
umingmak	umingma+(k)
kaivaluaqtuq	ka+(ivalu)+aq+tuq
qijuvik	qi+(ju)+vik
pamiuq	(pamiuq)
tatqiqhiun	(tatqi)+qhi+un
iluvrit	(iluv)+rit
nahaullik	(nahaullik)
attariktuq	(atta)+rik+tuq
nivaktaa	(nivak)+taa
uqamiluktuq	(uqami)+luk+tuq
nagjuk	n+(agj)+uk
hukattuq	hu+(kat)+tuq
angajukhaq	(angaju)+khaq
apquhiniq	(apquhi)+niq
piksaliun	(piksali)+un
tikitinnanga	(tikitinna)+nga
qaatiqtuq	qa+(at)+iqtuq
quahijaaqtuq	qu+(ahija)+aq+tuq
hivulliujuq	(hivulli)+ujuq
tupakhaqtaa	tupak+(h)+aq+taa
aarluk	a+(a)+rluk
kivjaqtaa	ki+(vj)+aq+taa
im’rut	(im’r)+ut
naunaitkuhiqtaa	(naunaitk)+uhiq+taa
uiniq	(ui)+niq
haniraq	(hanir)+aq
hiqquqtijjut	(hiqquqtijj)+ut
takpiktuq	(takpik)+tuq
uvinik	(uvi)+nik
qinngijuq	qi+(nngi)+juq
qikiqtaq	qikiqta+(q)
avin’ngaq	(avin’ng)+aq
akuttijuq	(aku)+ttijuq
nunguttuq	(nungu)+t+tuq
iqquk	(iqq)+uk
taliq	(tal)+iq
mittuq	(mi)+t+tuq
iqaluk	(iqaluk)
havangnahi	havang+(na)+hi
mikigaq	(miki)+gaq
hilaqqiqtuq	hila+(qq)+iqtuq
muqpaujaq	(muqpauj)+aq
iigijuq	(iigi)+juq
aippaagutqikpat	(aippaagu)+tqikpat
tuuqtuq	(tuuq)+tuq
hivvuqtuqtuq	hi+(vvuq)+tuq+tuq
nirihuiqtunga	(niri)+huiq+tunga
ipualik	(ipualik)
uingairnaqtuq	(uingair)+naq+tuq
malik	(ma)+lik
palvinaqtuq	(palvi)+naq+tuq
titiraqtuq	(titir)+aq+tuq
qanilrumi	qa+(nilru)+mi
aqpajuaqtuq	(aqpaju)+aq+tuq
majuqqaq	(majuqq)+aq
ivjaruti	(ivjar)+uti
qalviaq	(qalvi)+aq
hittuqittuq	hi+(ttuq)+it+tuq
quanaqquhi	(quanaqqu)+hi
pamiuqtuuq	(pamiuq)+tuuq
iqilgagiag	(iqilgagi)+ag
tagjuq	(tagj)+uq
nalariaq	(nala)+riaq
imiqtuq	(im)+iqtuq
ahinni	(ahinni)
haniani	(hani)+ani
qaniq	(qa)+niq
piqati	(pi)+qati
ilihimajara	ilihima+(jara)
ivjaruhiqtuqtaa	(ivjaruhiq)+tuq+taa
havangnatik	havang+(na)+tik
taiguqtuq	ta+(i)+guq+tuq
qanuqakituvaaa	qa+(nuqakituvaa)+a
akurun	(akur)+un
akimaittuq	(akima)+it+tuq
allaqtaa	(all)+aq+taa
unaaq	(una)+aq
ilaruhiq	(ilaruhi)+q
mitquiqtaa	(mitqu)+iq+taa
qijjaktuq	qi+(jj)+ak+tuq
aannuraaqarvik	(aannuraaq)+arvik
munngarman	(munngar)+man
aviktaa	(a)+vik+taa
tuhaajuq	(tuhaa)+juq
qarliik	qa+(rliik)
atukkiqtuq	a+(tukk)+iqtuq
iglautigijaa	(iglauti)+gijaa
crowberry	(crowberry)
maamauti	(maama)+uti
algaaq	(alga)+aq
iglaqtuq	(igl)+aq+tuq
ikkattuq	(ikka)+t+tuq
igliq	(igli)+q
nivinngarvik	(nivinng)+arvik
iqaluktuuttiaq	iqaluk+(tuu)+ttiaq
qakkuriktuq	qa+(kku)+rik+tuq
tunijaa	(tuni)+jaa
haamirut	(haamir)+ut
humik	(humi)+k
mikiliraq	(mikilir)+aq
apiqhuiji	(apiqhui)+ji
ataniq	a+(ta)+niq
ilumuuqtuq	(ilumuuq)+tuq
kingmiktaq	ki+(ngmikt)+aq
akiittuq	(aki)+it+tuq
apqun	(apqu)+n
nattiqtuq	(natt)+iqtuq
haamiruti	(haamir)+uti
hulijakhaqhiuqtuq	(hulija)+khaq+hiuq+tuq
hivumut	(hivum)+ut
aqhaktuq	(aqh)+ak+tuq
kuugarjuk	(kuuga)+rj+uk
patiq	(pati)+q
kanivaut	(kaniva)+ut
nippaqtuq	n+(ipp)+aq+tuq
kiujuq	(ki)+ujuq
hapun	(hap)+un
annirutijaujuq	(annirutija)+ujuq
uplumittauq	(uplu)+mi+ttauq
hanalrutit	(hanalr)+ut+it
aittuuhiaqtuq	a+(ittuuhi)+aq+tuq
takummarikhijaa	taku+(mmarikhi)+jaa
hivuaq	(hivu)+aq
pilaktuq	(pilak)+tuq
minilaqijuq	(mini)+laqi+juq
qiviaqtuq	(qivi)+aq+tuq
tugliqti	(tugliq)+ti
tuhujuq	(tuhu)+juq
hilarluk	(hila)+rluk
qiplarikhijuq	(qipla)+rik+hi+juq
iijjirurvia	(iijjirurvia)
uqajuittuq	(uqaju)+it+tuq
tikitinnatin	(tikitinna)+tin
mamaqhungnittuq	(mamaq)+hungnit+tuq
kiihijuq	ki+(ihi)+juq
qaffaktaqtuq	(qaffakt)+aq+tuq
akhaluutikkuuqtuq	akhaluuti+(kkuuq)+tuq
tikitqaaqtuq	t+(ikitq)+aaq+tuq
taaq	(ta)+aq
taimuuna	ta+(imuuna)
ilulliq	(ilu)+lliq
agluraqtuq	(aglur)+aq+tuq
tilarrin	(tilarr)+in
qaijuq	qa+(i)+juq
hani	(ha)+ni
aanaakhiiq	a+(anaakhi)+iq
uuktuuti	(uuktu)+uti
unaguqtaiqhajait	una+gu+(qtaiqhaja)+it
puhitaq	(pu)+hi+taq
miqhuqtitaq	(miqhuq)+ti+taq
hanmijuq	(hanmi)+juq
huunngittuq	hu+(u)+nngit+tuq
qigliriaqtuq	qi+(gli)+riaqtuq
mamiahuktuq	(mamia)+huk+tuq
quaqhalaarun	(quaqhalaar)+un
hilviaq	hi+(lvi)+aq
tatijaa	(tati)+jaa
qattaq	qa+(tt)+aq
ilupaaq	(ilupa)+aq
iliuqpik	(iliuq)+pik
irnituaq	(irni)+tuaq
qianngaqtuq	qi+(anng)+aq+tuq
ipiktuq	(ipik)+tuq
aiviqtuq	a+(iv)+iqtuq
tajarmiaq	ta+(jarmi)+aq
maamaun	(maama)+un
avittuk	a+(vitt)+uk
nakit	(nak)+it
nauktaimna	(nauktaim)+na
qaffit	qa+(ff)+it
hauniq	(hau)+niq
pimmarluktuq	(pi)+mmarluk+tuq
inukhijuq	(inuk)+hi+juq
iqiahuktuq	(iqia)+huk+tuq
umialik	(umia)+lik
inikhaqquqtujuq	(inikha)+qquqtu+juq
aqaguublaami	aqagu+(ublaa)+mi
iqhiqpak	(iqhiq)+pak
angijuq	a+(ngi)+juq
makpiraaq	(makpiraaq)
nurrakhaq	(nurra)+khaq
qiuktaqtuq	qi+(ukt)+aq+tuq
naqhaq	(naqh)+aq
takiunniin	ta+(kiunni)+in
auktiruti	(auktir)+uti
aqagumunngaqpat	aqagu+(munngaq)+pat
ilulliik	(ilu)+lliik
uluak	ulu+(ak)
kangiqhimaittuq	kang+(iqhima)+it+tuq
kikiak	(kikiak)
kihimi	ki+(hi)+mi
qungujuktuq	qu+(nguj)+uk+tuq
iilluut	(iillu)+ut
kapuuti	(kapu)+uti
tuuqtaa	(tuuq)+taa
ikkikhat	(ikkikha)+t
hanirarmiktuq	(hanirar)+mik+tuq
tupiqtuq	(tup)+iqtuq
aiq	a+(i)+q
aullarnani	a+(ullarna)+ni
hivuralik	(hivura)+lik
kakaktuq	ka+(k)+ak+tuq
aliktuqtaa	(alik)+tuq+taa
kumak	(kuma)+k
naunaipkuhiqtaa	(naunaipk)+uhiq+taa
inuhaaq	(inu)+haaq
pihiq	(pihi)+q
itibjaaq	(itibj)+aaq
naalaun	(naala)+un
kigutaiqtuq	kigu+(ta)+iqtuq
milukaqtuq	(miluk)+aq+tuq
nalvaaqtaa	n+(alva)+aq+taa
auktirun	(auktir)+un
higjaaq	(higja)+aq
haqiktauti	(haqikta)+uti
qulviliuqtuq	qu+(lvi)+liuq+tuq
hungajaaqtuq	hu+(ngaja)+aq+tuq
angilrauhiqtuq	(angilrau)+hiq+tuq
angajuk	(angaju)+k
apihimajuq	a+(pihima)+juq
anujaa	a+(nuja)+a
inuuhuktuq	(inuu)+huk+tuq
titiraun	(titira)+un
attirluaqtuq	a+(ttirlu)+aq+tuq
inuuqati	(inuuqati)
nirritit	(nirri)+tit
malriak	(malri)+ak
numiqtuq	(num)+iqtuq
arniqijuq	(arniqi)+juq
mahik	(ma)+hik
nangirvigijaa	(nangirvi)+gijaa
nutaaq	(nuta)+aq
qalingujuq	qa+(ling)+ujuq
ikpat	(ikpa)+t
qablunaavjak	(qablu)+naavjak
uik	(ui)+k
utimuktuqtuq	(utimuk)+tuq+tuq
aittuun	(aittu)+un
takujuq	ta+(ku)+juq
tulrujuq	(tulr)+ujuq
takimut	(takim)+ut
nalrujuq	(nalr)+ujuq
agiraqtuq	(agir)+aq+tuq
ajuiqhajaa	(ajuiqha)+jaa
sikiituuq	(sikii)+tuuq
nivjaaqtuq	(nivja)+aq+tuq
hiniktuq	hi+(nik)+tuq
tuqutaa	(tuqu)+taa
minguk	(minguk)
qannaqtujuq	qa+(nnaqtu)+juq
ipijuq	(ipi)+juq
kivviti	(kivvi)+ti
niliqtuq	(ni)+liq+tuq
ulujjak	(ulujja)+k
hurluktuq	(hu)+rluk+tuq
tukhungajuq	(tukhunga)+juq
aatituuqtuq	a+(ati)+tuuq+tuq
ijarluktuq	(ija)+rluk+tuq
ilannaq	(ilanna)+q
iqqakuuq	(iqqakuuq)
napaaqtuq	(napa)+aq+tuq
amaamak	a+(maamak)
ivjuhiliqtuq	(ivjuhil)+iqtuq
irmiut	(irmi)+ut
ujaraktujuq	(ujaraktu)+juq
uqaqatigijaa	(uqaqati)+gijaa
pukaraq	p+(ukar)+aq
ihivriuqtaa	(ihivriuq)+taa
tingmiaqtuq	(tingmi)+aq+tuq
hinigvik	hi+(ni)+g+vik
kablaq	ka+(bl)+aq
kujaktuq	(kuj)+ak+tuq
ikpati	(ikpa)+ti
ikkitautikhaq	(i)+kkita+utikhaq
kimik	ki+(mi)+k
tuqutqajaktuq	(tuqutqaj)+ak+tuq
iluviik	(iluvii)+k
ungirun	(ungir)+un
ingniquhiqiji	(ingniq)+uhiqiji
miqhuqtaa	(miqhuq)+taa
ipigaun	(ipiga)+un
tuurmiaq	(tuurmi)+aq
uplumi	(uplu)+mi
aittuqtuq	a+(it)+tuq+tuq
piqtuq	(p)+iqtuq
tigluut	(tiglu)+ut
niqi	(niqi)
palviittuq	(palvi)+it+tuq
tunguttuq	(tungu)+t+tuq
igluliuqti	(iglu)+liuq+ti
nipiliuti	(nipili)+uti
kiguhiqiji	(kig)+uhiqiji
imaittuq	(ima)+it+tuq
qunmut	(qunm)+ut
hunauvva	huna+(uvva)
angatkuq	ang+(atk)+uq
tablu	(ta)+blu
atungak	a+(tunga)+k
hiqulaaq	hiq+(ula)+aq
piaraq	(piar)+aq
tuattuq	(tua)+t+tuq
anaqtaut	(anaqta)+ut
un’nguq	(u)+n’nguq
aajuraq	a+(ajur)+aq
ih	(ih)
malruiqtuqtuq	(malru)+iqtuq+tuq
aniutaqtuq	a+(niu)+taqtuq
makanngittuq	(maka)+nngit+tuq
maniillat	(maniilla)+t
ailaq	a+(il)+aq
ikuhik	(iku)+hik
taqak	ta+(qa)+k
amaamaktuq	a+(maamak)+tuq
anmuujuq	a+(nmu)+ujuq
hivuliqtiliuqtuq	hi+(vuliqti)+liuq+tuq
kuvijuq	(kuvi)+juq
panituaq	(pani)+tuaq
kilgavik	ki+(lga)+vik
aqqaluaq	(aqqalua)+q
kuapikkat	(kuapi)+kkat
qitiqhiq	qi+(tiq)+hiq
immiqijuq	(immiqi)+juq
maniliqiji	(maniliqiji)
hatku	(ha)+tku
inuuqatigijaa	(inuuqati)+gijaa
kigutit	(kig)+ut+it
itimak	(itima)+k
titqauti	(titqa)+uti
takpiittuq	(takpi)+it+tuq
attatak	a+(ttata)+k
haulluqtuq	(haulluq)+tuq
titqaut	(titqa)+ut
aniqtak	(aniqta)+k
haglujuq	(haglu)+juq
uaqtiqtuq	(uaqt)+iqtuq
uqauhiq	(uqauhi)+q
tiirluk	(tii)+rluk
uqhuq	(uqhu)+q
utaqqiuqtaa	(utaqqi)+uq+taa
humin	hu+(mi)+n
qanirluktuq	(qani)+rluk+tuq
kinguniq	(kingu)+niq
mamaittuq	(mama)+it+tuq
natiruvik	(natiruvi)+k
annut	a+(nn)+ut
naarliuqtuq	(naar)+liuq+tuq
itkiq	(itk)+iq
unuqtuq	(unuq)+tuq
naniriaqturvik	(nani)+riaqtur+vik
kukiijaun	(kukiija)+un
taqtu	t+(aqtu)
ivgut	(ivg)+ut
nujait	(nuja)+it
aalliraujaq	a+(allirauj)+aq
mittarvik	(mitt)+arvik
anguniaqtuq	angun+(i)+aq+tuq
hamunngauliqtuq	(ha)+munngau+liq+tuq
kanajuraq	ka+(najur)+aq
qiqaujuq	qi+(qa)+ujuq
pijumatujuq	(pijumat)+ujuq
aannuraangijaqtuq	(aannuraang)+ijaqtuq
aalla	a+(alla)
tuqhuuk	(tuqhu)+uk
pauq	(pa)+uq
inuujuq	(inu)+ujuq
allarun	(allar)+un
iluittuq	(ilu)+it+tuq
uniaqti	(uni)+aq+ti
akilliq	(aki)+lliq
kappianaqtuq	(kappia)+naq+tuq
igjuk	(igju)+k
upin’ngakhaq	(upin’nga)+khaq
ingilraan	ingil+(raa)+n
iigluktuq	(iigluk)+tuq
kipataa	(kipa)+taa
taiguqtaa	ta+(ig)+uq+taa
agluqtuq	a+(gluq)+tuq
natquq	n+(atqu)+q
aputi	(ap)+uti
tunuttuq	(tunu)+t+tuq
puiguqtuq	(pui)+guq+tuq
kukik	(kukik)
inutquaq	(inutqu)+aq
kipattijuq	(kipa)+ttijuq
atuaqtaun	(atuaqta)+un
najakhaq	(naja)+khaq
puvviujaq	p+(uvviuja)+q
uqquuqut	(uqquuq)+ut
akikittuqtaarijaa	(akikittuqtaa)+rijaa
ilunngunaqtuq	(ilunngu)+naq+tuq
ikaaqtaa	(ika)+aq+taa
qingaq	(qing)+aq
aqpik	(aq)+pik
aittauqtuq	(aittauq)+tuq
aittaqtuq	(ait)+taqtuq
ikkikhati	(ikkikha)+ti
kinaatqin	ki+(naatq)+in
qaptirun	(qaptir)+un
piqpagijaa	(piqpa)+gijaa
qigliktaqtuq	(qiglik)+taqtuq
paut	(pa)+ut
qagaqtaun	(qaga)+qta+un
affaqpallaijuq	a+(ffaqpall)+aijuq
algiqhiijuq	(algiqhii)+juq
puvallaqtuq	p+(uvall)+aq+tuq
hunagaq	(huna)+gaq
tunu	(tunu)
ivjarut	(ivjar)+ut
pangaliktuq	pangalik+(tu)+q
pilaktaa	(pilak)+taa
aqumuktuq	a+(qum)+uk+tuq
inuittuq	(inu)+it+tuq
ingniqut	(ingniq)+ut
pualrin	(pualri)+n
ipiutaq	(ipi)+ut+aq
majurautaq	(majura)+ut+aq
finger	(finger)
aqhalialaqijuq	(aqhalia)+laqi+juq
ilaut	(ila)+ut
ingnak	(ingna)+k
nivaktuq	(nivak)+tuq
inugaq	(inu)+gaq
tamamnuk	(tama)+mnuk
ublumi	(ublu)+mi
utarujaq	(utaruj)+aq
aullaqtinnagik	aullaq+(tinna)+gik
tarjuliaqtuq	t+(arjuli)+aq+tuq
akulliq	a+(kulliq)
tivjarluktuq	(tivja)+rluk+tuq
nipiliuqtuq	(nipi)+liuq+tuq
kigaqtuq	(kig)+aq+tuq
ainnuaq	(ai)+nnuaq
kihajjariktuq	ki+(hajja)+rik+tuq
niujjijuq	(niujji)+juq
atiqujaanga	a+(tiqujaa)+nga
hingaijuq	(hing)+aijuq
allaqhijuq	(alla)+qhi+juq
mikkirun	(mikkir)+un
ungiruti	(ungir)+uti
nangmautaq	n+(angma)+ut+aq
auktuqtuq	a+(uk)+tuq+tuq
inuujaq	(inuuj)+aq
qanuq	qa+(n)+uq
hakhagiaq	(ha)+khagiaq
ikuallaktuq	(ikuall)+ak+tuq
paanruliaq	paa+(nruli)+aq
talukujaaq	ta+(lukuja)+aq
ippakhaani	(ippakha)+ani
nuviqhaaq	(nuviqh)+aaq
katimajut	(katimaj)+ut
tamaffi	ta+(ma)+ffi
hikuliaq	hi+(kuli)+aq
tajja	(tajja)
pingangnaq	(pingang)+naq
iqalliqijut	(iqalliqij)+ut
kataktuq	(kat)+ak+tuq
alilaaqtuq	(alila)+aq+tuq
alianaittuq	(alianai)+t+tuq
iviangik	(iviangi)+k
ukpirijaa	(ukpi)+rijaa
ivguti	(ivg)+uti
hiitquqtuq	hi+(itquq)+tuq
ilirahuktuq	(ilira)+huk+tuq
tipjariktuq	(tipja)+rik+tuq
qigliktuq	(qiglik)+tuq
patuqutaujuq	p+(atuquta)+ujuq
upin’ngaqhiqtuq	(upin’ngaqh)+iqtuq
qupilruq	(qupi)+lruq
qin’ngutik	(qin’ngu)+tik
naunaipkutaq	(naunaipk)+ut+aq
hinnakturni	hi+(nnaktu)+rni
imiruktuq	(imir)+uk+tuq
majurautit	(majura)+ut+it
quppirun	(quppir)+un
quanaqpiaqquhi	(quanaqpiaqqu)+hi
itqakhaijuq	(itqakh)+aijuq
ingmiqtuq	(ingm)+iqtuq
quaqhalaaruti	(quaqhalaar)+uti
kipkaqtuq	ki+(pk)+aq+tuq
hallaaqtuq	(hall)+aaq+tuq
uvattiagu	(uvattia)+gu
ahiruijuq	a+(hirui)+juq
ikittut	(ik)+it+tut
anmuktaa	(anmuk)+taa
ujaraliaq	(ujara)+liaq
hitammiut	(hitammi)+ut
innaqtuq	(in)+naq+tuq
pajaliqin	(paja)+li+qin
qiniqhiajaa	qi+(niqhia)+jaa
apiqhuijuq	(apiqhui)+juq
natirluit	n+(atirlu)+it
humiliqaak	(humi)+liqaak
tingmiaqhiuqtuq	(tingmiaq)+hiuq+tuq
mannik	(manni)+k
imiarjijuq	(imiarji)+juq
ilihimajuq	(ilihima)+juq
kahaktaa	ka+(hak)+taa
uaqtakhat	(uaqta)+khat
ipiqtuq	(ip)+iqtuq
killaijaqtaa	k+(illaij)+aq+taa
nukaun’nguq	nuka+(u)+n’nguq
akhaarniq	a+(khaar)+niq
tigliktaa	(tiglik)+taa
itqanaiqtuq	(itqana)+iqtuq
hurjuktuq	hu+(rj)+uk+tuq
tikinnatin	tikin+(na)+tin
pijumaphaaqtuq	(pijumapha)+aq+tuq
akhun	a+(kh)+un
timi	(ti)+mi
uaqhin	(uaqhi)+n
miriaqtuq	(mi)+riaqtuq
qallun	(qall)+un
kiahirutilik	(kiahir)+uti+lik
tuqulrajaqtuq	(tuqulraj)+aq+tuq
uqquaq	(uqqu)+aq
ikkin	(i)+kkin
aliqti	a+(liq)+ti
haavitaa	(haavi)+taa
iliptik	(ilip)+tik
iqqakuurun	(iqqakuur)+un
minguliqtuq	(mingul)+iqtuq
titiraq	(titir)+aq
itqiliq	(itqili)+q
kiattik	(kiat)+tik
tunuhiq	(tunu)+hiq
niuvvaajuq	(niuvvaa)+juq
ublaami	(ublaa)+mi
apquhiuqtuq	(apqu)+hiuq+tuq
pataliqin	(pata)+li+qin
aqhaaqtaujuq	(aqhaaqta)+ujuq
niujijuq	(niuji)+juq
inikhaqaqtuq	(inikhaq)+aq+tuq
ikuhingmiktaa	ikuh+ingmi+(k)+taa
kiviktaa	(ki)+vik+taa
ningahuktuq	(ninga)+huk+tuq
qangiaq	qa+(n)+gi+aq
qanilruq	(qani)+lruq
tivjaq	(tivja)+q
majuraqtuq	(majur)+aq+tuq
hivumun	(hivum)+un
qijuktaqtuq	qi+(juk)+taqtuq
angajuqqaaq	a+(ngajuqqa)+aq
nagluqitaqtuq	(nagluqit)+aq+tuq
umilik	(umi)+lik
amaruaq	a+(maru)+aq
tumi	(tu)+mi
pingangnaqtuq	(pingang)+naq+tuq
ivjaruhiqtaa	(ivjaruhiq)+taa
mamiahujuittuq	(mamiahuju)+it+tuq
kaaffi	ka+(a)+ffi
tuujjaarnaqtuq	(tuujjaar)+naq+tuq
angutikhaq	(anguti)+khaq
aullarnanuk	a+(ullarna)+nuk
uuktauti	(uukta)+uti
hiurjuuti	hi+(urju)+uti
alikhaq	a+(li)+khaq
pattaaqtaa	p+(atta)+aq+taa
aullaaqtuq	a+(ull)+aaq+tuq
kamiktuqtuq	ka+(mik)+tuq+tuq
apittuq	(ap)+it+tuq
hiqanaakhiuti	hiq+(anaakhi)+uti
aalliniq	a+(alli)+niq
tuutaujaq	(tuutauj)+aq
qauq	(qa)+uq
tuharnarnaqtuq	(tuharnarn)+aq+tuq
ukuaq	(uku)+aq
apurvik	(apurvi)+k
kingloon	ki+(ngloo)+n
paan’nguliaq	(paan’nguli)+aq
nutiplik	n+(utip)+lik
ariujaa	a+(riu)+jaa
qanittuq	(qani)+t+tuq
ingniqun	(ingniq)+un
paniqtuq	(paniq)+tuq
pualrihaqtaa	(pualrih)+aq+taa
humit	(humi)+t
inuarullik	(inuarullik)
kuvjiqtuq	(kuvj)+iqtuq
pitqujaa	(pitqu)+jaa
hannaiqtuq	(hanna)+iqtuq
tiggak	(tigga)+k
uqquujuq	(uqqu)+ujuq
itibjaaqtuq	(itibj)+aaq+tuq
taitaiffaaqtuq	(taitai)+ffaaq+tuq
tiggutik	(tiggu)+tik
nuvujalaqijuq	(nuvuja)+laqi+juq
titrauti	(titra)+uti
atungaujaq	a+(tungauj)+aq
qakipqajuq	qa+(kipqa)+juq
aluuti	(alu)+uti
tunuani	(tunu)+ani
hiquqtuq	hi+(quq)+tuq
ilaun	(ila)+un
amaamaut	a+(maama)+ut
qiniqtuq	qi+(n)+iqtuq
ujarak	(ujara)+k
nuqitaa	(nuqi)+taa
qin’raun	qi+(n’ra)+un
pijumajuq	(pijuma)+juq
hikuun	(hiku)+un
tunmirautit	(tunmira)+ut+it
qaplunaatun	(qaplu)+na+atun
akiliqtaa	(akil)+iq+taa
imiq	(imi)+q
papiruq	(papi)+ruq
ulimakkak	(ulimakkak)
piksaliuqtaa	(piksali)+uq+taa
hilamiittuq	hila+(mi)+it+tuq
immitqiktaa	(immitqik)+taa
mitquti	(mitq)+uti
hinmiutaq	hi+(n)+miutaq
ataiqtuq	(ata)+iqtuq
quriiqtaq	(quriiq)+taq
allaliqtuq	(alla)+liq+tuq
uqhurjuaptaut	(uqhurjua)+pta+ut
qujagijaa	(quja)+gijaa
auk	(a)+uk
maliriq	(malir)+iq
nuvuja	(nuvuja)
takimun	(takim)+un
uqumuujuq	(uqumu)+ujuq
ikkit	(ikki)+t
kiiliqtaa	ki+(il)+iq+taa
tipaattuq	(tipaa)+t+tuq
nalaumajuq	(nalauma)+juq
ahiaq	(ahi)+aq
allaijaqtaa	(allaij)+aq+taa
aulajjut	(aulajj)+ut
hanirarmik	(hanirar)+mik
iji	(i)+ji
ivitaaruq	(ivitaa)+ruq
malrijuq	(malri)+juq
apitilirvia	a+(pitil)+irvia
tahitaa	(tahi)+taa
iggiaq	(ig)+gi+aq
aullarnatin	a+(ullarna)+tin
pijuminaqtuq	(pijumi)+naq+tuq
hanimut	(hanim)+ut
upin’raaq	(upin’ra)+aq
anaqtuq	(a)+naq+tuq
halraqtuq	(halr)+aq+tuq
amigaittut	(amiga)+it+tut
atqin	(atq)+in
igluktuuqtuq	iglu+(k)+tuuq+tuq
ingittuq	(ing)+it+tuq
nipiliuruti	(nipiliur)+uti
pihuktuq	(pi)+huk+tuq
igitaa	(igi)+taa
aqiaruijaqtaa	(aqiaruij)+aq+taa
uvanga	(uva)+nga
havangnanga	havang+(na)+nga
tahiraq	tahir+(a)+q
pihujjarluktuq	(pihujja)+rluk+tuq
nalunaqtuq	(nalu)+naq+tuq
illaijut	(illaij)+ut
ungirut	(ungir)+ut
nunaliqun	(nuna)+liq+un
nirlirnaq	n+(irlirn)+aq
kiluaqtuq	ki+(lu)+aq+tuq
ilarahuktuq	(ilara)+huk+tuq
makpiraaqarvik	(makpiraaq)+arvik
aniu	a+(niu)
igjuuk	(igju)+uk
aaktuq	(a)+ak+tuq
qikaaqtuq	qi+(ka)+aq+tuq
uilgarniq	(uilgar)+niq
aannuraaqtuqtuq	(aannuraaq)+tuq+tuq
ihivjuraq	(ihivjur)+aq
ungirlaaq	(ungir)+laaq
hinikhaq	(hini)+khaq
imariktuq	(ima)+rik+tuq
kivgaluk	ki+(vgal)+uk
taaqtuq	(ta)+aq+tuq
hakugiktuq	(hakugik)+tuq
naviktuq	navik+(tu)+q
tupaaqtaa	(tupa)+aq+taa
ikuutaqtuq	(ikuut)+aq+tuq
imiqtauti	(imiqta)+uti
alraaq	a+(lra)+aq
uplukittuq	(uplu)+kit+tuq
patautuqtuq	(patau)+tuq+tuq
umngijaqtuq	(umng)+ijaqtuq
haumimni	(haumi)+mni
iqitaa	(iqi)+taa
kanivaun	(kaniva)+un
qauqtaq	qa+(uq)+taq
atuqtuujaq	(atuqtuuj)+aq
nuvuk	(nuv)+uk
hanahuillun	(hanahuillu)+n
