kivjautik	ki+(vja)+uti+k
pivikhaqautinik	pi+(vikhaqauti)+nik
tunigiaqaqtun	tu+ni+(giaq)+aqtun
tuvirrat	t+uvi+(rra)+t
piannariangani	pi+anna+(ria)+ng+a+ni
piphi	pi+(phi)
auktiruti	auk+(tir)+uti
nutaqqak	n+uta+(qqa)+k
miniq	min+(i)+q
kitkutnik	ki+(tku)+t+nik
pilihaarnirmit	pi+(lihaar)+ni+rm+it
akirariik	aki+ra+(ri)+ik
naqittuq	na+(q)+ittuq
atauttikkuuqtut	a+ta+utti+(kku)+uq+tut
ikayuutauyukhanik	ik+ayu+(uta)+uyu+kha+nik
hiqanaakhiuti	hiqan+a+a+k+hi+(uti)
piannaqtuq	pi+anna+(qtu)+q
qiplaqhiqtuq	qi+p+la+(qhi)+qtuq
qanurinngittuq	qa+nur+(i)+nng+ittuq
hivulliqtikharnik	hivul+li+(qti)+khar+nik
ayuiqhautikharnik	ayu+i+(qha)+utikh+ar+nik
ujaranikpalliavut	ujara+(ni)+kpall+i+avut
umiaqpak	(umi)+aq+pak
uummati	uumm+a+(ti)
kimik	(ki)+mik
amaun	a+(ma)+un
halumajuq	ha+(lu)+majuq
hiitqumingajuq	hi+itqu+(mi)+nga+juq
aliktaa	a+(li)+kt+a+a
maligat	mal+i+(ga)+t
ajjiqijuq	ajj+(iq)+i+j+uq
qanuriliurutikhaniklu	qa+nur+(iliur)+utikh+a+nik+lu
hituliqtuq	hit+(u)+li+qtuq
titiraqhimajaat	ti+tiraq+hi+ma+(ja)+at
uuktuutikhat	uuk+tu+(uti)+khat
aqiamuk	aq+ia+(mu)+k
havaliqtut	hav+a+(liq)+tut
pihuktuq	pi+(hu)+kt+uq
allaqtaa	(alla)+qtaa
aullaaqtuq	a+ulla+(a)+qtuq
ihumagijaa	i+hum+(a)+gijaa
kipkaqtaa	kip+(k)+a+qtaa
qingalik	qi+(nga)+lik
ugjuk	(ugju)+k
ivjarun	ivj+ar+(u)+n
ayungitakharnik	ayu+(ngita)+khar+nik
kiliqtaa	ki+(li)+qtaa
ministaupluni	m+inista+(u)+plu+ni
nahaullik	na+(ha)+ullik
tikitqaaqtuq	t+iki+(tqa)+a+qtuq
uqummiaqtaa	u+qum+(mi)+a+qtaa
maqijuq	ma+q+(i)+j+uq
igalaaq	ig+(a)+laaq
tattit	ta+(tti)+t
ipikhaqtaa	ip+(ikha)+qtaa
kahaktaa	ka+(ha)+kt+a+a
ajjigijaa	(ajjig)+i+jaa
hivajaun	hiv+aj+(a)+un
huiqtuq	hu+(i)+qtuq
anuri	a+nur+(i)
ingilraatigut	i+ngi+(lra)+at+igut
naunaiyaiplutik	naun+a+iya+(i)+plu+tik
qaplunaaq	qa+pl+u+(naa)+q
tahamaniittuni	ta+ha+ma+ni+(ittu)+ni
nirijuq	ni+r+(i)+j+uq
naglingnaqtuq	na+(gli)+ngna+qtuq
aulajjuti	aula+(jj)+uti
nangmaktuq	na+(ngma)+kt+uq
hukkijaaqtuq	hukki+(ja)+a+qtuq
maliriq	mal+i+(ri)+q
pigliriaq	pi+(gli)+riaq
kaaffi	ka+a+(ffi)
uvalu	uva+(lu)
mikiliraq	mi+ki+l+(ir)+aq
uhiqtuq	(uhi)+qtuq
tuullik	tu+(ulli)+k
niuvrutikhaliyitkut	niuvr+(utikhal)+iyit+kut
akimajuq	aki+ma+(ju)+q
hatku	ha+(tku)
manniit	man+ni+(it)
qaluiraqtuq	qa+l+(u)+ira+qtuq
havagvikyuangani	hav+a+gv+(ikyua)+ng+a+ni
piannaqhutik	pi+anna+(q)+hu+tik
kukik	ku+(ki)+k
iglautigijaa	igl+a+(uti)+gijaa
polar bear cub	polar+( bear cub)
tajja	ta+(jja)
tikivikhaani	t+iki+(vi)+kha+a+ni
ulurianaqtuq	uluri+a+(na)+qtuq
naulaq	na+(ula)+q
gnkut	(gnkut)
anguniaqti	a+ng+un+i+(aqti)
ikimajuq	iki+(ma)+j+uq
aiviq	a+(ivi)+q
qanmaqtuq	qan+(ma)+qtuq
nakuunngittuq	nakuu+(nng)+ittuq
paan’ruqtuq	pa+an’r+(u)+qtuq
qaritauyakkurvik	qa+ritauya+(kku)+rvik
uqauhiit	uq+au+(hi)+it
auladjutiit	aula+dj+ut+(i)+it
pitquitjutainniklu	pi+(tqu)+itj+utain+nik+lu
hivayarluguluunniit	hivay+a+(rlugu)+lu+unni+it
amaruq	a+(ma)+r+uq
arvinilik	arvin+(ili)+k
pujurvik	pu+(ju)+rvik
haumimni	ha+(umi)+mn+i
takkumni	ta+(kku)+mn+i
uvinikliruvit	uv+(i)+nik+liru+vit
agiaqtuq	(agi)+a+qtuq
avikturviinnilu	av+ikt+u+(rvi)+in+nilu
aluutinnuaq	a+lu+(utinnu)+aq
umiktuq	(umi)+kt+uq
naunaiqhitauvaktuq	naun+a+iqhi+ta+(uva)+kt+uq
uviningni	uv+in+(i)+ngni
ikajuqtuq	ik+a+(ju)+qtuq
naliat	(nalia)+t
illaujaq	i+(lla)+uja+q
kijjak	ki+(jja)+k
nunaqaqtunut	nuna+(q)+aqtu+nut
qaniriktuq	qa+ni+(ri)+kt+uq
ui	u+(i)
tingittaitkun	ti+ngi+ttai+(tku)+n
uvinik	u+(vi)+nik
huliniaqpin	huli+ni+(aqpi)+n
qavvik	qa+(v)+vi+k
qilalugaq	qi+la+(lu)+gaq
kut	(k)+ut
naunaikpagait	naun+ai+(kpaga)+it
aulapkaivaktait	aula+pka+(ivak)+t+a+it
anarnat	a+na+(rna)+t
kigiaq	ki+(gi)+aq
pivagait	pi+(vaga)+it
kia	ki+(a)
imunrit	im+(unri)+t
hapkuat	ha+p+(ku)+at
uipkuaq	u+(ipku)+aq
mihuktuq	mi+(hu)+kt+uq
ilihautijaa	ili+ha+(uti)+jaa
algaaq	alg+(a)+aq
imaiqtaa	ima+(i)+qtaa
hunagaijaijuq	hu+na+(gaija)+i+j+uq
nmto	n+(mto)
qanniq	qa+(n)+niq
qanuritpit	qa+nur+(itpi)+t
aanaakhiiq	a+(anaakhii)+q
allaruti	a+(llar)+uti
kuniktuq	(kuni)+kt+uq
naunaitkutait	na+una+it+(ku)+t+a+it
atuqtauhimaaqtukhaq	at+uqtau+(hima)+aqtu+khaq
irnia	irn+i+(a)
hivuliqtiuvakhimayuq	hivul+iqt+(iu)+v+akhima+yuq
tiirluk	ti+(ir)+lu+k
ablaangajuq	a+b+(laa)+nga+juq
ihuittuq	i+hu+(i)+tt+uq
ikayuktiuyuq	ik+ayu+(kti)+u+yuq
in’ngutaq	i+(n’ng)+ut+aq
inuarullik	inu+(ar)+ullik
havaanut	hav+a+(an)+ut
takuttailijuq	taku+(ttail)+i+j+uq
puiniq	pu+(i)+niq
tarjuliaqtuq	t+ar+j+(uli)+a+qtuq
ayuitamingnik	ayu+(ita)+mi+ng+nik
tikinnatin	t+iki+(nna)+tin
ahijjijuq	a+hi+(jj)+i+j+uq
takkurni	ta+(kku)+r+ni
ijaruvak	(ijaru)+vak
kivgaluk	kiv+(ga)+lu+k
maamauti	(maama)+uti
tingmiakkuuqtuq	tingmi+(akku)+u+qtuq
uhingajuq	(uhi)+nga+juq
ubluqtujuq	ub+lu+(qtu)+j+uq
atan’ngujuq	a+t+an+(’ng)+u+juq
kuplu	k+(uplu)
mikilirarmiaq	mi+ki+l+(irarmi)+aq
qalutaujaq	qa+l+(uta)+uja+q
ilumuuqtuq	ilu+(mu)+u+qtuq
ugjulik	u+(gju)+lik
tuktuujaq	tu+(ktu)+uja+q
ilaanilu	i+la+(a)+nilu
qajaqtuqtuq	qa+(j)+aqtu+qtuq
puvitqurnaqtuq	p+uv+(itqu)+rn+a+qtuq
agluqtuq	a+(glu)+qtuq
buildingnunavut	(build)+ingn+un+avut
alruyaliqititigut	a+lr+(uyaliqi)+tit+igut
sikiituuq	si+ki+(ituu)+q
attiaq	a+(tti)+aq
attiqtaa	a+(tti)+qtaa
ivalu	(ivalu)
qin’ngut	qin+’ng+(u)+t
quviahunngittuq	quviahu+(nng)+ittuq
piyaangani	pi+(yaa)+ng+a+ni
titirarvikhaq	titir+a+(rvi)+khaq
amigairyumiqtitiniaqhimayut	amig+a+(iryumiqtitiniaq)+hima+yut
nivinngarvik	ni+(vinng)+arvik
pinnirijaa	pi+(nni)+rijaa
hivulirijaa	hiv+(uli)+rijaa
ihuma	i+hu+(ma)
qatanngutigiinik	qa+ta+(nngutigi)+i+nik
aniu	a+ni+(u)
niuviqpaktup	ni+uv+i+(qpa)+k+t+up
attirniik	att+ir+(ni)+ik
imuniq	(imu)+niq
uumani	(uuma)+ni
laisinik	lais+(i)+nik
amigailuhiluuniit	amig+a+(i)+lu+hi+lu+uniit
quaqhalaarut	qu+aq+ha+la+(ar)+ut
humunngauvin	hum+unng+(auvi)+n
pauq	(pa)+uq
akhaarniq	ak+ha+(a)+r+niq
ayuikhautihimaaqtukharnik	ayu+(ikha)+uti+hima+aqtu+khar+nik
titiraqtaa	ti+(tir)+a+qtaa
qaujihaidjutit	q+auj+i+ha+(idjut)+it
pualuk	pu+al+(u)+k
taki	t+ak+(i)
ilainnunngaqtaa	i+la+(innunng)+a+qtaa
anitaa	a+(ni)+taa
naunaiyaidjutikhanut	naun+a+iya+(idjut)+ik+ha+nut
havaqutingmik	hav+a+(quting)+mik
haamlatkunnut	ha+(amlat)+k+un+nut
iijjiraaluk	iijjir+(aa)+lu+k
ausuittuq	a+(usu)+ittuq
nakuukpiaktuq	na+ku+ukp+iak+t+(u)+q
pigiaqaqtunik	pi+(giaq)+aqtu+nik
havaktit	hav+akt+(i)+t
pamialluk	pa+mi+(al)+lu+k
kukiktaa	ku+(ki)+kt+a+a
uqumaittuq	u+qum+(a)+ittuq
hivumut	hiv+(u)+mut
mihiktuq	mi+(hi)+kt+uq
pinniqtuq	pi+(nni)+qtuq
ani	a+(ni)
ilaptingnullu	i+la+(pting)+n+ullu
titiqtuun	titiq+(tu)+un
mahak	ma+(ha)+k
ujaraliaq	ujara+(li)+aq
nunamingni	nuna+(mi)+ngni
ikumajuq	iku+(ma)+j+uq
uuktuutikhangit	uuk+tu+(utikha)+ngit
atuqpakhimajavut	atuq+pa+k+(hima)+j+avut
aularaanginaqtumik	aula+(raangin)+aqtu+mik
nunagiyauyuni	nu+(na)+giyauyu+ni
nunaqatigiit	nuna+(qatigi)+it
uqautjiyiit	(uqautjiy)+iit
munaqtiuyut	mu+na+(qti)+uyut
nutqaqtuq	nu+(tqa)+qtuq
uqauhiq	uqa+(uhi)+q
line	(line)
tupakhaqtaa	tu+p+(akha)+qtaa
hukhamut	hu+(kha)+mut
paniqtuq	pa+(ni)+qtuq
aanniaruiqtun	a+anni+(aruiqt)+un
maligaq	mal+(i)+gaq
havgun	ha+(vg)+un
tupittuq	tu+(p)+ittuq
kavamatkuanni	ka+(vama)+t+ku+anni
nuliangiqtuq	nul+i+(angi)+qtuq
titiraqhimayuq	titir+a+(q)+hima+yuq
nikpaqtuq	ni+(kp)+a+qtuq
aakhamingnik	a+(akha)+mi+ng+nik
avatquhimayumik	av+at+(qu)+hima+yu+mik
ikajurumajait	ik+a+(ju)+ruma+jait
pituutaq	pi+(tu)+ut+aq
uplukittuq	u+pl+(u)+k+ittuq
taliqpingmuuqtuq	t+al+(iqpi)+ngmu+u+qtuq
qajangnaitkutikhanut	qa+j+ang+na+it+(kut)+ik+ha+nut
hukkinnaaq	hukki+(nna)+aq
uttuk	(utt)+uk
piksa	pi+(ksa)
aqagumunngaqpan	aqagum+unng+aq+pa+(n)
naunaitunik	na+una+it+(u)+nik
angmagiaq	a+(ngma)+gi+aq
humiutauvin	hu+mi+(utauvi)+n
annirutijaujuq	anniru+(tija)+u+juq
killaijaqtaa	kill+(aija)+qtaa
qilaaq	qi+la+(a)+q
tatattuq	ta+(ta)+tt+uq
hamunga	ha+(mu)+ng+a
ikajuq	ik+(a)+j+uq
inuuhuktulirijinilu	inu+uhuktu+(lir)+iji+nilu
quviahuujuq	quviahu+(u)+j+uq
aadjikutaliurhimanirmut	aadji+ku+ta+liur+(hima)+ni+rm+ut
aulaniqaqtunik	aula+(n)+iq+aqtu+nik
piaraq	pi+(a)+raq
havangnatik	hav+a+(ngna)+tik
quq	(q)+uq
ilannariik	i+la+(nnari)+ik
iqutujuq	i+qu+(tu)+j+uq
maligaliqiyunik	mal+ig+aliq+(i)+yu+nik
ivajuq	i+(va)+j+uq
iijjilaqijuq	i+(ijjilaq)+i+j+uq
akikittuqtaarijaa	aki+(k)+ittuq+taa+rijaa
iritaqtuq	i+(rit)+a+qtuq
amiraq	a+(mir)+aq
atiq	a+(ti)+q
haililiqqatalu	ha+(ili)+liq+qa+ta+lu
igliq	i+(gli)+q
atnaguyauyunut	at+(naguya)+uyu+nut
manikhavingit	man+ik+ha+(v)+i+ngit
illaijuti	il+lai+j+(uti)
atiliugluhi	at+ili+(uglu)+hi
ilihimayakhainiklu	ili+(hima)+ya+khai+nik+lu
maniktaqvikharnik	man+ik+ta+(qvikha)+r+nik
annivik	a+(nni)+vi+k
anujijuq	an+(uji)+j+uq
nipitqaqtaun	ni+pit+(qaqta)+un
utuqqaq	ut+uq+(q)+aq
ihumagijauttiarniq	i+hum+(agijautti)+ar+niq
hiipangnittuq	hi+ip+a+(ngni)+tt+uq
amaamaupluni	a+(maama)+up+lu+ni
maniliqutinut	man+ili+q+(uti)+nut
kikturiilitaq	ki+k+tu+ri+(ili)+taq
mitiinnaq	mi+(ti)+in+naq
pinahuarumayatik	pi+nahu+ar+u+(mayati)+k
unipkaaqtuq	un+(ipka)+a+qtuq
anaqtauti	an+aq+ta+(uti)
arnaqhiuti	arna+(qhi)+uti
kavamaliqiiyinut	k+ava+mal+(iqiiy)+in+ut
pilraak	pi+(lraa)+k
havaqatigiikhutik	hav+a+(qatigi)+ikhu+tik
iviangiq	ivi+angi+(q)
quijuq	qu+(i)+j+uq
hivullirmik	hivul+li+(r)+mik
kakkiijaut	ka+(kkiija)+ut
kitkut	k+(i)+tkut
titiraq	titir+a+(q)
uluagullik	u+lu+(ag)+ullik
amaamaun	a+(maama)+un
ilihimajuq	i+(li)+hi+majuq
kitulliqaak	ki+(tul)+liq+a+ak
qiuktaqtuq	qi+(u)+kta+qtuq
iliphi	ili+(phi)
tuffiuqtuq	tu+(ffiu)+qtuq
pivikhaitanutlu	pivikh+a+(ita)+nut+lu
uqauhingita	uq+au+(hi)+ngit+a
pangnirtung	(pa)+ng+nir+tu+ng
titiraakhaun	titir+a+(akha)+un
qaniaq	qa+ni+(a)+q
havakvingmi	hav+ak+(vi)+ng+mi
qarjuk	(q)+ar+ju+k
aptuniqtujuq	aptu+ni+(qtu)+j+uq
tunutaa	tu+n+(u)+taa
ulrujaaqtuq	u+(lru)+jaa+qtuq
aniqhaaqtariami	a+niq+ha+(aqtariami)
hilahiun	hila+(hi)+un
tigliktaa	tig+(li)+kt+a+a
hivuliqti	hivul+iqt+(i)
ukiunganik	ukiung+(a)+nik
allaijaqtaa	a+ll+(aija)+qtaa
utimuktuqtuq	ut+i+mu+(ktu)+qtuq
nunaryuani	nuna+(ryua)+ni
ataniqarvingmi	a+t+an+(iqa)+rvi+ngmi
havakniaqtangit	hav+ak+ni+(aqta)+ngit
hikuun	h+iku+(u)+n
inuinarnik	inu+(inar)+nik
naittumik	na+(ittu)+mik
havaktiinik	hav+akt+(i)+i+nik
aullaqtinnanuk	a+ull+aq+(tinna)+nuk
imiqtuq	i+(mi)+qtuq
havakvingitlu	hav+ak+(vi)+ngit+lu
ataani	a+(ta)+ani
aquuti	(aqu)+uti
atuqtaghapfingnikakiitut	at+uqt+(a)+gha+pfing+nik+aki+it+ut
apiqhuqtuq	ap+(iqh)+u+qtuq
ingittuq	(i)+ng+ittuq
hungajaaqtuq	hu+(nga)+jaa+qtuq
najjak	na+(jja)+k
naunaiyautainnik	naun+a+iya+(uta)+in+nik
nipitiruti	ni+pit+(ir)+uti
amihut	a+mi+(hu)+t
iqhijuq	(iqh)+i+j+uq
nunaptingni	nuna+(pting)+ni
tuniuqhaivaktut	tu+ni+(uqhai)+vak+tut
nikhiktaa	ni+(khi)+kt+a+a
kutni	ku+(t)+ni
maliruagakhallu	mal+i+(ruagakha)+llu
munarilugitlu	mu+na+(ri)+lu+git+lu
ulapqinikkut	ul+apq+(i)+nik+kut
putukkuk	pu+tu+(kku)+k
avalu	ava+(lu)
hivayautaanun	hivay+a+(utaa)+n+un
uplu	(uplu)
hituaqtuq	hi+(tu)+a+qtuq
ca	(ca)
ivjannguhuktuq	ivj+(annguhu)+kt+uq
tatatpiaqtaa	tat+at+(pi)+a+qtaa
qaniq	qan+(i)+q
qitiqqautijuq	q+iti+(qqa)+uti+juq
irnikhaq	irn+i+(kha)+q
ikayukhimaanginaqhutiklu	ikayukhi+ma+angi+(naq)+hu+tik+lu
ukkuaqtuq	u+(kku)+a+qtuq
nalunaqtunik	na+lu+(n)+aqtu+nik
nimuuniaqtuq	ni+mu+u+ni+(a)+qtuq
upalungaiyailiqiyunik	u+pa+(lungaiya)+iliq+iy+u+nik
titirarvikhat	titir+a+(rvi)+khat
qanilrukkun	qa+ni+(lrukk)+un
piujaqtuq	pi+(uj)+a+qtuq
qimiriaq	qi+(mi)+riaq
ingnirvik	i+(ngni)+rvik
haqalikitaaq	ha+(qalikita)+aq
tukiliurutit	t+uk+(iliur)+uti+t
kapuhiqujaulimaittut	ka+pu+(hiqujau)+lima+it+tut
hanaqidjutigiyauhimayut	ha+n+aq+idjut+(igiyau)+hima+yut
kipataa	ki+(pa)+taa
havangnahi	hav+ang+(na)+hi
takimut	ta+(ki)+mut
auladjutivikhainnut	aula+dj+ut+(ivi)+kha+in+nut
talvuunaluunnit	ta+lv+(uuna)+lu+unni+t
nalvaaqtaa	(nalva)+a+qtaa
ilaanittauq	i+la+(an)+it+ta+uq
uitajuq	u+(ita)+j+uq
ikijaa	ik+(i)+jaa
ihuaqhautit	i+hu+(aqha)+uti+t
mitquiqhijuq	mitqu+(iqh)+i+j+uq
natquq	na+(tqu)+q
qaqqulaannguqtuq	qa+q+qu+(laanng)+u+qtuq
aanniarutingnik	a+anni+a+(r)+ut+ingn+ik
havaktiuyut	hav+akt+(i)+uyut
nutaqqiuqtaa	n+utaqq+(iu)+qtaa
pinahuarutikhainik	pi+nahu+ar+u+(ti)+khai+nik
quanaqtuq	qu+(an)+a+qtuq
niqiliuqtuq	ni+q+(ili)+u+qtuq
ivjaqut	ivj+(aq)+ut
nanminiqaqtullu	na+nmin+(iqaq)+t+ullu
agjaqtaa	a+(gja)+qtaa
kuttuq	(ku)+tt+uq
nukatukkaaq	(nukatu)+kkaaq
ilituqhainahuarniq	ilit+uqhai+(nahuar)+niq
munaqtiit	mu+na+(qti)+it
nahaq	na+(ha)+q
qaritauyami	qa+ritauya+(mi)
tunin’nguitkutikhaq	tu+ni+(n’ng)+uitk+uti+khaq
unniutjutillu	(un)+niutjuti+llu
hinaa	hi+na+(a)
mitqut	mitqu+(t)
qituhungnaqtuq	qi+tu+(hungn)+a+qtuq
tamatkiqtaa	t+ama+(tki)+qtaa
uqaqvigilugu	u+qa+q+vi+(gi)+lu+gu
tunmiraq	tu+n+(mir)+aq
uvaptignik	uva+(p)+tig+nik
igluqpait	igluqpa+(i)+t
havaaqharnik	hav+a+(aqha)+r+nik
amaamaktuq	a+(maama)+kt+uq
arnaaqutaq	arna+(aq)+ut+aq
ikayuutauhunguyuq	ik+ayu+(utauhung)+u+yuq
tapkuninga	ta+p+ku+(ni)+ng+a
ihuaqhihimani	i+hu+(aqhi)+hima+ni
pinahuarutikhat	pinahu+a+(r)+utikh+at
tauplutik	ta+(uplu)+tik
angijuugaluit	angi+(juuga)+lu+it
atqaqtuq	a+(tqa)+qtuq
nunaniglu	nuna+(ni)+g+lu
qituhuktuq	qi+(tuhu)+kt+uq
tigvaqtuq	tig+(v)+a+qtuq
haunittiaq	haunitti+(a)+q
ukiakhaq	uk+i+(akha)+q
ivjurnauti	ivj+u+(rna)+uti
nauk taimna	na+(uk )+tai+mna
havaktauyukhani	hav+akt+(auyukh)+ani
piliuriami	p+ili+u+(ri)+a+mi
uunaqtuq	(uuna)+qtuq
anu	an+(u)
qaritauyaliqidjutit	qa+r+it+auyal+iq+(idjut)+it
tail of fish	ta+(il of f)+is+h
atqin	a+(tqi)+n
kuvjiqtuq	ku+vj+(i)+qtuq
havaktip	hav+akt+(ip)
im’ngun	im+(’ng)+un
hiti	hit+(i)
kapuut	ka+pu+(u)+t
tuniyauyut	tu+(ni)+y+auyut
turaaqhimayuq	tu+(raaq)+hima+yuq
ungahiaqtuq	ung+a+(hi)+a+qtuq
uqauhialluunniit	uqa+(uhia)+llu+unni+it
qin’ngaut	qin+’ng+(a)+ut
havagiikhimayuq	hav+a+(giikhima)+yuq
numiktiriji	(numiktir)+ij+i
titiqiqiyiingit	titiq+iq+(iyi)+i+ngit
hilalliq	hila+(lli)+q
qilaut	qi+(la)+ut
atungaujaq	at+u+(nga)+uja+q
hadja	ha+(dja)
mikijuq	miki+(ju)+q
amiijaijuq	a+mi+(ija)+i+j+uq
amiritjutinik	a+mir+(itjut)+i+nik
pitikhaqtuq	pi+ti+k+(ha)+qtuq
nutaraq	n+uta+(r)+aq
hiitquaqtuq	hi+itqu+(a)+qtuq
talittuq	ta+(l)+ittuq
havingma	ha+vi+(ngma)
angilrarvik	angil+ra+(rvi)+k
uilik	u+(ili)+k
paan’nguliaq	pa+an’ng+(uli)+aq
tiiliurun	ti+(iliur)+un
ulapqiyut	ul+apq+(i)+yut
utigyakniaguvin	utigya+k+ni+(a)+guvin
nguyaita	(nguya)+ita
aiq	a+(i)+q
havakviinnut	hav+ak+(vi)+in+nut
kanna	ka+(nna)
kaagliqpunga	ka+a+(gli)+q+punga
kigutaiqtuq	kigut+(a)+i+qtuq
havaktakhainullu	hav+akt+(akha)+in+ullu
pimmariktuq	pi+(mmari)+kt+uq
nirij	niri+(j)
nunagiyainut	nuna+(giyain)+ut
kasiliinut	ka+s+ili+(i)+nut
pivikhainnikni	pivikh+a+(in)+nik+ni
tipjariktuq	(tipjari)+kt+uq
ingniqutiliqitigut	ing+niq+(uti)+liq+it+igut
uhiarun	(uhiar)+un
tununngani	tu+n+(un)+ng+a+ni
tungungajuq	tu+(ngu)+nga+juq
igajuq	i+(ga)+j+uq
qapalaqijuq	qap+(alaqi)+j+uq
qaphaktaqtuq	qa+(pha)+kta+qtuq
ikayuqlugit	ik+ayu+(q)+lu+git
mi	(mi)
makpiraangani	m+ak+(piraang)+ani
titirakhaq	titir+a+(kh)+aq
uviluq	u+(vilu)+q
situasaaluti	si+tu+(asaalu)+ti
nutaanut	n+uta+(a)+nut
ikuutaqtuq	iku+(ut)+a+qtuq
naharaq	na+(ha)+raq
aujuq	a+(u)+j+uq
hiulluktuq	hi+(ullu)+kt+uq
tahin’ngajuq	ta+hi+(n’)+nga+juq
tuffijuq	tu+(ffi)+j+uq
aittuqtuq	a+(ittu)+qtuq
akituyunut	aki+(t)+uyu+nut
atan	a+(ta)+n
gps	(gps)
taliqpiani	t+al+(iqpi)+ani
aplaangajuq	ap+(laa)+nga+juq
kavamatkunnillu	ka+(vama)+tk+unni+llu
ingmiqtuq	i+(ngmi)+qtuq
com	co+(m)
taaqhivalirvia	ta+aq+hiv+a+(li)+rvi+a
havilqhiaq	hav+il+(qhi)+aq
arnalluaq	a+(rna)+llu+aq
algiqhiijuq	alg+(iqhii)+j+uq
nunamin	nuna+(min)
ahiruijuq	a+hi+(ru)+i+j+uq
queen	qu+(ee)+n
hold	(hold)
igluqpainut	igluqpa+(i)+nut
ilaruhirijaa	i+la+(ruhi)+rijaa
ohokak	(ohoka)+k
ingilirutikharnik	ing+(ili)+r+utikh+ar+nik
taimailiuqtuq	t+a+i+ma+(ili)+u+qtuq
piutinggit	pi+(uti)+ng+git
tangmaaqtuq	t+ang+ma+(a)+qtuq
tumi	tu+(mi)
akimaittuq	aki+ma+(i)+tt+uq
tunivaktait	tu+n+(ivak)+t+a+it
kangiqhijjut	kang+iqhi+(jj)+ut
avittuq	(avi)+tt+uq
patiq	pa+(ti)+q
takhijaa	t+ak+(hi)+jaa
ilihariaqpaalliviat	ili+ha+(riaqpa)+allivi+at
atuqquyauhimayuq	atuq+qu+(yau)+hima+yuq
naunaiyaivakhutiklu	naun+a+iya+(ivak)+hu+tik+lu
tiriaq	(ti)+riaq
kaaktuq	ka+(a)+kt+uq
papik	pa+(pik)
alianai	al+ia+na+(i)
puptati	pu+(pta)+ti
munariyukhallu	mu+na+(ri)+yukh+a+llu
kablaq	ka+(bla)+q
majurautaq	majuraut+(a)+q
ahu	a+(hu)
ilihariaqpaallivianni	ili+ha+(riaqpa)+allivi+anni
qayangnairutiqarlutin	qa+(yangnai)+ruti+q+ar+lutin
atigi	a+(ti)+gi
itingmiktaa	(iti)+ng+mik+taa
kigutit	kigut+(it)
kamisinami	ka+mi+si+(n)+a+mi
auktirut	auk+(tir)+ut
pivikhaqautikkut	pi+(vikhaqauti)+kkut
katittait	ka+(tit)+t+a+it
nanguttijuq	nang+(utti)+j+uq
upalungaiyautit	u+pa+(lungaiya)+uti+t
aulapkaidjutikhanik	aula+pka+(i)+djut+ikha+nik
uqautijaa	uqa+(uti)+jaa
nulialik	nul+i+(a)+lik
pikijuq	pi+(k)+i+j+uq
iluviik	ilu+v+(i)+ik
pilaarutait	pi+(laaru)+t+a+it
patuqutaujuq	pa+(tuquta)+u+juq
maniliukhimaangitun	ma+ni+(liuk)+hima+a+ngit+un
iqiahuktuq	(iqiahu)+kt+uq
piritaa	pi+(ri)+taa
aullatjutikhatigut	a+ulla+(tj)+utikh+a+t+igut
qulvik	qu+l+(vi)+k
tuhaadjutikharniklu	tu+ha+(adj)+utikh+ar+nik+lu
hannaiqtuq	ha+(nna)+i+qtuq
aqamaaktuq	aq+ama+(a)+kt+uq
maliktakhaniklu	mal+i+(ktakha)+nik+lu
havakpaktait	hav+a+(kpak)+t+a+it
aullaqhimakhaaqtuq	a+ull+aq+(hima)+kha+a+qtuq
hivutuniqaqtuq	hiv+ut+(uniq)+a+qtuq
niqiliqivik	ni+qi+(liq)+iv+ik
uvattiaq	uv+attia+(q)
ukuninga	u+(kuni)+ng+a
uriuqtuq	u+(ri)+u+qtuq
humit	hu+(m)+it
auttuq	a+u+(ttu)+q
atira	at+(ira)
iqaluktuuttiami	iqa+luk+(tuutti)+a+mi
nuna	nu+(na)
aqqaluakhaq	a+(qqalua)+khaq
qalagjuarnirmik	qala+gjuarn+(irmi)+k
akhaluutikkuuqtuq	ak+ha+(luutikku)+u+qtuq
hanningajulik	h+anni+ng+(aju)+lik
kinauvit	ki+na+u+(vi)+t
malikniinnik	mal+i+(k)+ni+in+nik
pigliqtuq	pi+(gli)+qtuq
humiitpa	hu+mi+(itpa)
hitammiut	hit+am+(mi)+ut
qilirniqtaa	q+ili+rn+(i)+qtaa
taamnataamna	ta+(a)+mna+taa+mna
hivunniriiqtuq	hivun+niri+(i)+qtuq
sikiiraqtuq	si+ki+(ir)+a+qtuq
ilitturidjutikhat	ili+t+tur+(idj)+utikh+at
ilitturiplutik	ili+t+tur+(i)+plu+tik
havaqatigititlugit	hav+a+(qatigi)+t+it+lu+git
malik	mal+i+(k)
ukium	uk+i+(um)
aullapkaidjutikhangit	a+ulla+pka+(idj)+utikh+a+ngit
qanuq akituvaaa	qa+(nuq )+akitu+v+a+a+a
hanirarmik	h+an+(irarmi)+k
mikigaq	mi+(ki)+gaq
tikitinnanga	t+iki+(tinna)+nga
agyaktunut	(agya)+kt+unut
angirutaani	angi+(r)+u+taa+ni
havangtinnanuk	hav+ang+(tinna)+nuk
aqubliqtuq	aq+ub+(li)+qtuq
hikuarniq	h+iku+(a)+r+niq
